#timestamp(s) translation_x(m) translation_y(m) translation_z(m)
1640237067.000000000 0.00 0.00 0.00 
1640237067.099999905 0.00 0.00 0.00 
1640237067.200000048 0.00 0.00 0.00 
1640237067.299999952 0.00 0.00 0.00 
1640237067.400000095 0.00 0.00 0.00 
1640237067.500000000 0.00 0.00 0.00 
1640237067.599999905 0.00 0.00 0.00 
1640237067.700000048 0.00 0.00 0.00 
1640237067.799999952 0.00 0.00 0.00 
1640237067.900000095 0.00 0.00 0.00 
1640237068.000000000 0.00 0.00 0.00 
1640237068.099999905 0.00 0.00 0.00 
1640237068.200000048 0.00 0.00 0.00 
1640237068.299999952 0.00 0.00 0.00 
1640237068.400000095 0.00 0.00 0.00 
1640237068.500000000 0.00 0.00 0.00 
1640237068.599999905 0.00 0.00 0.00 
1640237068.700000048 0.00 0.00 0.00 
1640237068.799999952 0.00 0.00 0.00 
1640237068.900000095 0.00 0.00 0.00 
1640237069.000000000 0.00 0.00 0.00 
1640237069.099999905 0.00 0.00 0.00 
1640237069.200000048 0.00 0.00 0.00 
1640237069.299999952 0.00 0.00 0.00 
1640237069.400000095 0.00 0.00 0.00 
1640237069.500000000 0.00 0.00 0.00 
1640237069.599999905 0.00 0.00 0.00 
1640237069.700000048 0.00 0.00 0.00 
1640237069.799999952 0.00 0.00 0.00 
1640237069.900000095 0.00 0.00 0.00 
1640237070.000000000 0.00 0.00 0.00 
1640237070.099999905 0.00 0.00 0.00 
1640237070.200000048 0.00 0.00 0.00 
1640237070.299999952 0.00 0.00 0.00 
1640237070.400000095 0.00 -0.00 0.00 
1640237070.500000000 0.00 0.00 0.00 
1640237070.599999905 0.00 -0.00 0.00 
1640237070.700000048 0.00 -0.00 0.00 
1640237070.799999952 0.00 0.00 0.00 
1640237070.900000095 0.00 0.00 0.00 
1640237071.000000000 0.00 -0.00 0.00 
1640237071.099999905 0.00 0.00 0.00 
1640237071.200000048 0.00 0.00 0.00 
1640237071.299999952 0.00 0.00 0.00 
1640237071.400000095 0.00 0.00 0.00 
1640237071.500000000 0.00 0.00 0.00 
1640237071.599999905 0.00 0.00 0.00 
1640237071.700000048 0.00 0.00 0.00 
1640237071.799999952 0.00 0.00 0.00 
1640237071.900000095 0.00 0.00 0.00 
1640237072.000000000 0.00 0.00 0.00 
1640237072.099999905 0.00 0.00 0.00 
1640237072.200000048 0.00 0.00 0.00 
1640237072.299999952 0.00 0.00 0.00 
1640237072.400000095 0.00 0.00 0.00 
1640237072.500000000 0.00 0.00 0.00 
1640237072.599999905 0.00 0.00 0.00 
1640237072.700000048 0.00 0.00 0.00 
1640237072.799999952 0.00 0.00 0.00 
1640237072.900000095 0.00 0.00 0.00 
1640237073.000000000 0.00 0.00 0.00 
1640237073.099999905 0.00 0.00 0.00 
1640237073.200000048 0.00 0.00 0.00 
1640237073.299999952 0.00 0.00 0.00 
1640237073.400000095 0.00 0.00 0.00 
1640237073.500000000 0.00 0.00 0.00 
1640237073.599999905 0.00 0.00 0.00 
1640237073.700000048 0.00 0.00 0.00 
1640237073.799999952 0.00 0.00 0.00 
1640237073.900000095 0.00 0.00 0.00 
1640237074.000000000 0.00 0.00 0.00 
1640237074.099999905 0.00 0.00 0.00 
1640237074.200000048 0.00 0.00 0.00 
